topic,tfidfscore
waiter,0.013287412051057958
everything,-0.008966524992896789
mina_restaurants,0.05168354567434253
something,-0.016238742558228398
touch,0.019780924332192012
apps,0.04292664342509201
amount,0.011565344759643392
flavor,0.0033855626056076174
place,-0.09537073812400249
nothing,-0.0153870586530074
places,0.009151478713462096
texture,0.031338489680461934
hour,0.10371193601152574
time,-0.008112764049328718
restaurant,0.01853965236444698
way,0.003516751554831029
hour_pricing,0.05713796585992097
reviews,0.008255400123061571
staff,-0.014948338557440204
atmosphere,-3.176477991559599e-05
value,0.011718149355788786
presentation,0.03088218431087548
server,0.004613685048528602
ambiance,0.017292962211348132
experience,-0.04337828722851428
-,0.027279514871835216
service,-0.21723680239377924
stars,0.018448751739570016
portions,0.006771125211215235
taste,0.01000182908595104
